"addr_short","ISIid","author","address","lon","lat"
" Athens 16610,  Greece","WOS:000338630800025","Haralabous, John"," Hellen Ctr Marine Res, Inst Marine Biol Resources, Athens 16610, Greece",23.8,38
" Athens 16610,  Greece","WOS:000338630800025","Palialexis, Andreas"," Hellen Ctr Marine Res, Inst Marine Biol Resources, Athens 16610, Greece",23.8,38
" Athens 16610,  Greece","WOS:000338630800025","Vassilopoulou, Vassiliki"," Hellen Ctr Marine Res, Inst Marine Biol Resources, Athens 16610, Greece",23.8,38
" Athens 16777,  Greece","WOS:000310859700008","Grigorakis, Kriton"," Agios Kosmos Hellinikon, Inst Aquaculture, Hellen Ctr Marine Res, Athens 16777, Greece",23.8,38
" Atlanta,  GA 30332 USA","WOS:000302986400039","Navare, Arti"," Georgia Inst Technol, Sch Chem & Biochem, Atlanta, GA 30332 USA",-84.4,33.8
" Atlanta,  GA 30332 USA","WOS:000302986400039","Fernandez, Facundo M."," Georgia Inst Technol, Sch Chem & Biochem, Atlanta, GA 30332 USA",-84.4,33.8
" Atlantic Highlands,  NJ 07732 USA","WOS:000334041700003","Brill, Richard W."," NOAA, Ecosyst Proc Div, Northeast Fisheries Sci Ctr, Natl Marine Fisheries Serv, Atlantic Highlands, NJ 07732 USA",-74,40.5
" Auburn,  AL 36849 USA","WOS:000333559700003","Salze, Guillaume"," Auburn Univ, Sch Fisheries Aquaculture & Aquat Sci, Auburn, AL 36849 USA",-85.5,32.6
" Auburn,  AL 36849 USA","WOS:000334395800002","Feng, Jianbin"," Auburn Univ, Fish Mol Genet & Biotechnol Lab, Dept Fisheries & Allied Aquacultures, Auburn, AL 36849 USA",-85.5,32.6
" Auburn,  AL 36849 USA","WOS:000334395800002","Liu, Shikai"," Auburn Univ, Fish Mol Genet & Biotechnol Lab, Dept Fisheries & Allied Aquacultures, Auburn, AL 36849 USA",-85.5,32.6
" Auburn,  AL 36849 USA","WOS:000334395800002","Wang, Xiuli"," Auburn Univ, Fish Mol Genet & Biotechnol Lab, Dept Fisheries & Allied Aquacultures, Auburn, AL 36849 USA",-85.5,32.6
" Auburn,  AL 36849 USA","WOS:000334395800002","Wang, Ruijia"," Auburn Univ, Fish Mol Genet & Biotechnol Lab, Dept Fisheries & Allied Aquacultures, Auburn, AL 36849 USA",-85.5,32.6
